1,好前途, 展翅   飞翔    前途    
2,, 各位        大神    指点    
3,太远了，手机不行，不知道那挖友玩铁甲没有<br><div class='img'><img src='/static/image/common/xzapp.png' /></div><br>, 准备   干架  架了      太远 远了      手机    不行      不知道  知道            铁甲    没有                                                                               
4,<img style="width:1.2em" src="static/image/smiley/new/tiejia1.gif" smilieid="144" border="0" alt="" /><br><div class='img'><img src='/static/image/common/xzapp.png' /></div><br>, 一起  起来       现在                                                                                                                                                                                     
5,锈的真紧,     真紧    
6,你们的车贴都到了，为什么我们的还没有到，是不是像T恤一样，泡汤了<img style="width:1.2em" src="static/image/smiley/new/tiejia26.gif" smilieid="145" border="0" alt="" /><img style="width:1.2em" src="static/image/smiley/new/tiejia26.gif" smilieid="145" border="0" alt="" />, 活动     你们         都到  到了      为什么  什么    我们      还没有  没有        是不是  不是         一样      泡汤                                                                                                                                                                                                                    
7,, 请教       加班费  班费    
8,这活做着舒服，施工员不见了。,   做着    舒服      施工员      不见了  见了      
9,不想起床,   不想 想起  起床    
10,<br><div class='img'><img src='/static/image/common/xzapp.png' /></div><br>,                                                                                           
